 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Santa Catarina
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;35,84;93,16;80,70;99,59;69,66;68,38;55,69;71,83
"075 DTP";87,23;96,82;79,60;83,40;88,60;92,22;103,08;105,04;36,75;0,29;100,61;102,01;101,88;104,14;97,12;102,55;99,10;102,33;99,10;98,23;99,42;105,55;97,96;84,75;91,21;56,36;88,98
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,37;...;1,86;1,98;1,45;0,67;2,37
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;88,06;91,78;92,37;66,22;79,34;71,47;39,69;74,96
"018 Sarampo";87,35;98,68;87,83;107,62;92,18;94,31;107,03;105,90;99,77;0,50;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;89,04
"009 Haemophilus influenzae b";...;0,00;0,41;0,16;-;4,46;106,93;105,02;36,30;0,92;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;27,06
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;45,06;41,63;43,30;27,48;32,35;51,32;36,96;39,69
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,55;11,68;49,21;34,36;39,83;66,85;46,48;36,24
"Total";68,80;71,32;62,39;60,46;61,86;70,75;79,80;81,18;63,41;48,01;73,94;77,73;74,54;81,76;78,73;84,50;76,83;96,74;86,72;73,31;81,06;91,21;79,70;81,54;87,93;64,14;76,72
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

