 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Rondônia
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;67,33;116,26;84,04;87,45;82,45;52,60;69,82
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;93,12;91,44;97,84;100,89;85,11;87,08;49,72;86,41
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;89,44;95,18;92,16;109,15;89,02;89,85;56,53;88,72
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;96,10;92,75;97,24;73,56;81,79;74,59;46,56;80,30
"021 Tríplice Viral  D1";...;...;...;...;...;...;17,15;93,85;94,94;115,24;130,63;115,99;125,36;116,70;103,49;102,29;100,41;102,72;105,40;106,52;146,88;109,00;109,79;105,52;102,03;56,62;102,28
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;74,56;112,73;94,61;94,32;84,00;79,41;49,35;83,98
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;38,30;112,79;94,63;94,97;78,61;53,71;45,86;73,95
"075 DTP";62,68;71,72;77,08;93,57;105,92;96,38;102,56;104,50;33,14;0,34;103,39;108,70;120,48;122,04;107,81;115,07;102,64;106,95;103,97;97,69;105,82;104,63;103,52;109,28;99,91;57,43;90,75
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,04;...;2,55;2,50;2,15;1,15;3,84
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;94,15;95,32;95,82;76,61;80,35;71,22;44,56;79,65
"018 Sarampo";75,57;96,54;82,64;105,09;103,70;97,87;100,63;103,37;96,17;7,82;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;86,23
"009 Haemophilus influenzae b";...;-;-;-;-;0,42;98,04;103,24;33,58;0,37;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;25,12
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;57,76;61,31;73,92;67,24;31,71;48,30;36,78;53,88
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,04;8,86;64,65;59,53;32,67;61,99;48,88;39,87
"Total";57,02;65,32;68,33;78,18;91,80;75,39;81,93;93,03;72,37;55,05;87,77;93,16;96,74;103,37;92,31;96,91;80,47;102,98;94,18;77,91;89,34;99,85;89,75;90,97;90,19;55,20;83,29
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

