 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Piauí
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"021 Tríplice Viral  D1";...;...;...;...;...;...;72,25;95,28;95,22;111,58;116,01;102,50;104,90;107,07;100,90;102,35;97,70;97,02;98,33;102,35;93,10;81,22;81,48;82,55;86,86;54,04;98,93
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;76,17;73,51;62,91;60,91;60,27;68,04;43,79;63,70
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;30,63;61,99;48,23;65,66;18,69;2,50;1,13;32,63
"075 DTP";65,65;76,54;70,79;53,58;86,12;91,17;91,44;99,80;71,78;2,29;100,93;100,45;105,17;105,86;100,52;103,01;96,77;99,29;92,92;90,77;82,79;82,32;79,16;75,55;85,41;50,71;82,51
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,59;...;2,14;2,45;1,29;1,01;2,84
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;87,69;76,27;75,27;63,27;72,45;65,71;35,42;68,06
"018 Sarampo";67,65;64,35;71,03;76,72;86,29;95,26;101,92;103,51;97,88;7,22;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;76,86
"009 Haemophilus influenzae b";...;-;-;-;-;0,33;66,13;91,46;65,93;3,15;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;24,43
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;55,59;34,02;19,58;18,60;31,14;50,74;31,66;34,65
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,47;5,14;15,05;16,40;38,07;67,47;41,94;26,38
"Total";47,64;46,32;44,03;42,93;52,15;62,11;78,28;85,48;80,19;55,97;89,30;86,52;86,07;92,09;89,14;91,18;80,06;95,12;87,02;72,94;67,40;71,72;63,18;71,92;75,34;47,24;70,29
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

