 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Pará
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;24,11;73,83;55,85;67,50;66,50;41,59;47,04
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;76,51;67,82;61,61;59,71;63,91;62,77;39,17;61,69
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;79,38;68,01;61,71;74,02;68,41;58,33;43,53;64,88
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;89,94;69,14;58,78;43,22;56,90;50,32;34,52;57,58
"021 Tríplice Viral  D1";...;...;...;...;...;...;10,14;47,94;120,34;124,98;143,10;116,35;113,05;118,49;111,83;117,62;110,95;109,25;102,20;98,49;115,73;71,92;69,61;70,90;76,15;44,86;94,87
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;34,76;65,35;45,78;62,34;57,37;58,67;38,43;51,81
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;20,14;57,71;37,78;62,39;54,21;47,09;35,92;45,06
"075 DTP";64,67;71,80;82,46;65,34;60,82;69,82;68,19;83,93;65,43;2,47;116,01;115,02;109,03;109,55;102,06;101,73;101,35;96,13;89,41;89,61;83,29;73,15;67,08;61,04;57,25;40,45;78,37
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,34;...;2,58;3,15;1,69;0,84;3,29
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;83,56;68,69;60,52;49,08;59,28;52,40;30,83;57,81
"018 Sarampo";63,49;91,81;59,08;95,61;61,00;85,10;111,86;124,30;116,86;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;80,50
"009 Haemophilus influenzae b";...;-;-;-;0,00;4,11;77,61;76,39;42,21;0,76;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,59
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;55,03;34,30;14,44;14,19;19,59;42,67;29,74;29,93
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,11;3,78;9,71;13,72;21,22;54,51;37,86;20,42
"Total";43,25;51,57;49,98;51,94;54,60;62,74;70,34;81,44;85,65;61,68;104,07;104,00;91,23;95,66;92,10;94,96;86,45;88,79;83,77;68,89;64,46;61,86;53,99;62,06;61,96;40,09;68,07
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

