 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Rio Grande do Norte
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"021 Tríplice Viral  D1";...;...;...;...;...;...;46,55;39,50;75,35;116,80;110,20;100,34;107,58;107,25;94,73;101,01;100,72;99,47;98,69;113,05;110,26;94,98;96,05;81,78;88,06;50,99;94,30
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;64,12;91,11;79,89;50,44;54,33;63,91;37,37;63,00
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;30,43;91,87;79,93;54,28;19,12;11,71;1,34;41,38
"075 DTP";78,79;81,13;72,87;77,64;77,63;87,21;88,31;92,02;40,15;2,55;98,47;97,04;103,88;99,02;92,59;98,68;95,04;97,04;93,72;88,26;89,94;90,80;76,37;68,68;88,84;44,11;81,29
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,51;...;3,93;4,05;2,12;0,99;4,72
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;87,01;82,78;83,25;62,53;61,97;63,32;37,72;68,47
"018 Sarampo";80,44;83,70;76,77;95,16;74,91;89,81;101,43;96,79;93,59;2,94;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;79,94
"009 Haemophilus influenzae b";...;-;-;-;-;0,03;56,30;81,27;30,82;2,39;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;18,50
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;52,88;50,92;55,24;34,49;27,65;48,04;29,01;42,59
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,07;9,10;41,42;30,41;26,92;62,13;39,73;30,08
"Total";55,12;48,00;43,97;50,17;45,65;57,28;63,65;66,40;60,89;48,46;77,42;74,80;73,70;76,21;72,07;74,91;70,26;84,83;78,00;67,72;71,89;81,60;61,47;59,24;74,34;40,81;64,55
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

