 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Bahia
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"009 Haemophilus influenzae b";...;-;-;-;-;1,56;69,61;90,33;42,81;2,62;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,72
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;56,87;49,88;41,62;25,16;21,61;32,95;22,47;36,06
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,74;11,31;40,12;26,96;27,64;52,10;35,36;27,96
"Total";57,30;36,25;34,90;45,54;51,63;70,39;77,90;89,35;72,47;55,00;93,79;97,97;91,58;92,31;87,65;91,77;81,14;91,95;82,78;73,76;75,73;84,16;61,51;69,29;67,82;40,80;70,43
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

