 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Acre
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;12,84;59,30;49,30;64,45;55,66;59,21;43,31;48,82
"075 DTP";30,66;49,43;51,06;43,39;59,69;55,69;65,06;79,12;29,65;3,15;86,59;89,71;88,14;102,03;88,35;100,57;92,41;96,95;87,57;82,58;65,37;81,30;75,02;72,62;69,77;51,47;70,37
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,45;...;3,90;4,35;2,51;1,68;4,94
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;73,75;60,27;62,70;60,11;62,22;62,95;41,50;60,67
"018 Sarampo";37,05;98,03;54,94;93,04;68,15;74,42;94,22;96,80;80,08;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;69,04
"009 Haemophilus influenzae b";...;-;-;-;-;-;15,91;63,22;15,47;0,64;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;11,12
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;47,58;31,23;17,13;10,05;14,19;45,81;35,58;28,64
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,53;1,94;12,08;7,84;15,92;62,62;46,74;20,42
"Total";27,37;59,92;47,05;58,57;57,38;64,67;62,05;81,78;74,37;60,61;89,91;78,70;76,39;92,71;80,92;90,36;77,05;90,16;80,70;60,86;52,47;67,36;60,95;68,02;73,66;49,31;67,15
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

