 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Ceará
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;68,80;128,34;93,98;88,70;82,89;86,44;53,40;85,99
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;27,60;127,95;94,42;91,06;36,01;11,54;11,62;57,05
"075 DTP";91,04;102,96;93,27;82,96;88,58;101,77;99,03;109,95;37,63;0,24;112,14;108,53;106,60;108,06;103,55;106,45;101,46;100,11;93,83;98,96;99,22;106,80;111,66;96,15;105,58;61,84;92,50
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,20;...;2,10;2,32;1,75;0,76;2,62
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;98,74;96,67;97,43;80,56;88,00;76,68;48,77;83,81
"018 Sarampo";103,72;107,40;98,43;131,76;90,77;112,02;111,04;114,15;105,78;3,60;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;98,09
"009 Haemophilus influenzae b";...;-;-;-;-;9,08;77,32;106,78;31,35;0,79;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;24,79
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;58,58;60,69;74,50;70,28;69,47;74,49;44,04;64,58
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,89;9,81;57,40;59,12;65,18;81,84;51,85;46,78
"Total";65,60;64,37;61,16;65,10;53,07;77,49;79,04;87,17;66,00;46,88;84,32;82,49;75,00;78,51;76,27;78,08;70,38;87,16;79,05;73,54;83,20;95,78;88,84;83,46;87,67;52,51;76,02
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

